url,reviewer,reviewer_avatar,datetime,rating,text,language,id,place_id
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s103003592807457975011!2s0x0:0xf380b78af9afe86f?hl=en-US,Josial Iszsa,https://lh3.googleusercontent.com/a-/AOh14GhZ0vJsHLezAWuK9cEoI8AFoHJb1lbcdzdkAMbt5A=c0x00000000-cc-rp,2020-07-30T00:26:00Z,5,"5Higiene, medidas de sana distancia, excelente calidad de alimentos y maravillosa atención. Vale mucho la pena.",es,17546225955757877359-1596057977.804,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s118305626699054494973!2s0x0:0xf380b78af9afe86f?hl=en-US,Osvaldo Caballero,https://lh4.googleusercontent.com/-5ebzE6LwgJ4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhXBywby8PyRikUyDm5HQmpvaghw/c0x00000000-cc-rp/photo.jpg,2020-07-08T00:18:00Z,5,Buen lugar para comer y pasar el rato,es,17546225955757877359-1594156694.121,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s104836758736761988651!2s0x0:0xf380b78af9afe86f?hl=en-US,Marbella Miss,https://lh3.googleusercontent.com/a-/AOh14Gjc-ghRBzBmGl1tm5kz8B97CHiAvOC06bjNeJuaMg=c0x00000000-cc-rp,2020-03-19T07:53:00Z,5,Súper delicioso todo y muy económico 🥰❤️❤️,es,17546225955757877359-1584593609.046,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s114097000053470132916!2s0x0:0xf380b78af9afe86f?hl=en-US,Erick romero casas,https://lh3.googleusercontent.com/a-/AOh14GjFoTwcktVFsAD3pdaCDc0V6iaIwld3Uwgoj-Hd=c0x00000000-cc-rp,2020-03-13T00:27:00Z,4,"Muy buen servicio, costos un poco elevados",es,17546225955757877359-1584048420.225,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s117708100503898804503!2s0x0:0xf380b78af9afe86f?hl=en-US,Yoscelina Gomez,https://lh3.googleusercontent.com/a-/AOh14Gig6g-YJigOM2UhjpWBA1BOD_0OV1j6vFzReF-q=c0x00000000-cc-rp,2020-03-08T03:49:00Z,3,"Comida rica, buen precio, atención normal, la barrita de ensaladas muy rica, el mesero algo chistoso, pero nada molesto, más bien raro, lo malo, son las cremas, pura agua y mucha, eso pueden mejorarlo y sería muy bueno el lugar, pero si se comer sano se trata, recomendable y por un razonable precio.",es,17546225955757877359-1583628551.982,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s111080331504241095841!2s0x0:0xf380b78af9afe86f?hl=en-US,Aro Juárez,https://lh3.googleusercontent.com/a-/AOh14Gh5aqdim3bJlbsz3XOdiOOzic7hLoNGvUgKP5fGuw=c0x00000000-cc-rp,2020-02-27T01:50:00Z,5,"Delicioso, lugar agradable, bueno sazón y atención excelente!",es,17546225955757877359-1582757427.219,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s104544687474799938304!2s0x0:0xf380b78af9afe86f?hl=en-US,Rocio Anguiano Villalobos,https://lh3.googleusercontent.com/a-/AOh14GjGuwWv0GcU2T3JEB1hzhzZMkhPqT49HfibOM7e3Q=c0x00000000-cc-rp,2020-01-23T00:28:00Z,5,Su comida y la ubicación,es,17546225955757877359-1579728527.6,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s108615034177213348075!2s0x0:0xf380b78af9afe86f?hl=en-US,Gupiromental,https://lh3.googleusercontent.com/a-/AOh14Gix98T9MM-y50sCKQNr2sHz1Rmiv8K7C5TCtn2qVQ=c0x00000000-cc-rp,2019-07-10T20:35:00Z,4,Genial la comida,es,17546225955757877359-1562780157.08,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s108148073209451621478!2s0x0:0xf380b78af9afe86f?hl=en-US,Talia pcc,https://lh3.googleusercontent.com/a-/AOh14GhJs5q8mt7ATezHR7KBXFU6VDqeK1SEn_nCM06y=c0x00000000-cc-rp,2019-07-05T17:15:00Z,4,Precio y calidad muy aceptable,es,17546225955757877359-1562336132.883,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s102211771067455689705!2s0x0:0xf380b78af9afe86f?hl=en-US,Jazmín Oliver,https://lh3.googleusercontent.com/a-/AOh14Gih0pjMNOcam2fFYmtO7c2N2iRhmqtUmy5iUuXM=c0x00000000-cc-rp,2019-07-03T08:22:00Z,4,Muy buena la comida. La barra de ensaladas muy fresca. Sirven rápido. Lo malo: el precio un poco elevado y se llena mucho y hay que esperar porque no hay suficientes mesas.,es,17546225955757877359-1562131333.133,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
